Funkcja,Architektura,Pojemność,LR,T,MSE,Odchylenie Std,Liczba parametrów,Stabilność (CV %)
Hard,Conv1D,C64,0.0005,80,0.26649661858876544,0.01027161841929029,204033,3.8543147277754257
Hard,Conv1D,C256,0.0001,80,0.2697138289610545,0.01016433669311106,2573121,3.7685634185923576
Hard,Conv1D,C32,0.001,100,0.27176667253176373,0.00816090536675511,67233,3.0029088153924666
Hard,Conv1D,C128,0.0001,100,0.2754684587319692,0.008055002821572423,698817,2.924110752516295
Hard,Conv1D,C32,0.001,80,0.27983924746513367,0.010204198058701309,67233,3.6464499355018782
Hard,Conv1D,C32,0.0005,100,0.28285648425420123,0.006853387636566297,67233,2.422920462522331
Hard,UNet,C32,0.0001,100,0.2828907370567322,0.006893918360737619,285761,2.436954434232706
Hard,Conv1D,C128,0.0001,80,0.2839578290780385,0.013548459663830852,698817,4.7712928739525635
Hard,UNet,C32,0.0001,80,0.292378693819046,0.010277168164432759,285761,3.515019521495409
Hard,Conv1D,C32,0.0005,80,0.2934356927871704,0.012058064223314072,67233,4.1092697717792
Hard,Conv1D,C64,0.0001,100,0.3043064872423808,0.0055302535169606416,204033,1.8173301420800085
Hard,Conv1D,C64,0.0001,80,0.315984050432841,0.012654110326472264,204033,4.004667422022859
Hard,Conv1D,C32,0.0001,100,0.3215118447939555,0.004138109946831352,67233,1.2870785365569677
Hard,Conv1D,C32,0.0001,80,0.33461738626162213,0.009159026946109953,67233,2.73716409312603
Chirp,MLP,C256,0.001,100,0.380372812350591,0.009999472894254544,169152,2.6288610987890464
Chirp,MLP,C256,0.001,80,0.39350825548171997,0.008350718688215977,169152,2.1221203295959574
Sine,MLP,C256,0.0005,80,0.3979945083459218,0.009050302265133843,169152,2.273976669363403
Sine,MLP,C256,0.0005,100,0.39866215984026593,0.0075698354354066435,169152,1.8988096182591518
Sine,MLP,C256,0.001,80,0.3995660940806071,0.00766202067565415,169152,1.917585297942833
Sine,MLP,C256,0.001,100,0.4018096725145976,0.008236692157793648,169152,2.049898925092305
Chirp,MLP,C256,0.0005,100,0.4021596411863963,0.010944132879284264,169152,2.721340422673539
Chirp,MLP,C256,0.0005,80,0.4084476828575134,0.012985426632583025,169152,3.179214175420596
Chirp,MLP,C256,0.0001,100,0.4126573105653127,0.011454913849724947,169152,2.7758902014924898
Sine,MLP,C256,0.0001,100,0.41340864698092145,0.008253022825224261,169152,1.9963353174867513
Hard,MLP,C256,0.001,100,0.41911699374516803,0.012225873773929275,169152,2.917055131714097
Hard,MLP,C256,0.0001,100,0.41920602321624756,0.012116405930794653,169152,2.890322481016548
Sine,MLP,C256,0.0001,80,0.41933077573776245,0.013701484757339729,169152,3.267464624611347
Chirp,MLP,C256,0.0001,80,0.42074912786483765,0.01786488896127202,169152,4.2459717152428595
Hard,MLP,C256,0.0005,100,0.422990620136261,0.012163563638238756,169152,2.8756107249660574
Sine,MLP,C128,0.0005,100,0.42460962136586505,0.008218888289144135,70336,1.9356340213643737
Sine,MLP,C128,0.0005,80,0.42605358362197876,0.011088378034836099,70336,2.602578281485457
Sine,MLP,C128,0.001,100,0.4284496506055196,0.00819859770044647,70336,1.913549862594018
Chirp,MLP,C128,0.001,100,0.4296046396096547,0.011937820697356914,70336,2.7787923119740507
Chirp,MLP,C128,0.0005,100,0.42979946732521057,0.01273714035528619,70336,2.963507710829374
Sine,MLP,C128,0.001,80,0.42982155084609985,0.011238441143040697,70336,2.6146760489133056
Hard,MLP,C256,0.001,80,0.4351147611935933,0.018122597197634167,169152,4.165015488769174
Chirp,MLP,C128,0.001,80,0.435821533203125,0.013658604951948391,70336,3.1339903862855887
Hard,MLP,C128,0.001,100,0.43670990069707233,0.012317058228197071,70336,2.820421109880196
Chirp,MLP,C128,0.0005,80,0.4367387493451436,0.015008401222868058,70336,3.4364711730690276
